path,gt
rit_4240_0,57753336
rit_4295_0, 523 + 487 
ritm_422_0, + 7 \times 9 ^ {5} + 7 \times 9 ^ {4} + 7 \times 9 ^ {3} + 7 \times 9 ^ {2} + 7 \times 9 
rit_420_3, 9 ^ {9 ^ {9 ^ {9 ^ {9 ^ {9}}}}} 
rit_4265_0, 4 ^ {4 ^ {4}} + 3 
rit_42150_0, 3 ^ {3 ^ {3}} + 3 
127_em_508,2S+1
120_em_300,-2
rit_4225_4, 7 ^ {7 ^ {7}} 
rit_4220_1, 9 \times 9 
504_em_44,8_{16}
RIT_2014_57,19
RIT_2014_29,-7
RIT_2014_156,-1
RIT_2014_95,20
20_em_42,17
502_em_0,63
RIT_2014_130, 8 - 7 
RIT_2014_97,12
RIT_2014_70, 1 + 1 + 1 + 1 + 1 = 5 
502_em_2,492
505_em_47,\ 5 + 3 = (1 + 1 + 1 + 1 + 1) + (1 + 1 +1)  = 8
RIT_2014_122, 18 z 
35_em_15,1 \times 1 + 1 \times 2 + 2 \times 2
26_em_78,169
512_em_284, ( 6 ) ( 6 ) ( 6 ) = 2 1 6 
RIT_2014_284,-39
35_em_6,{15} \div {5} = 3
RIT_2014_299,897
507_em_76,4 \times 4 + 4 + 4 \!
29_em_159,18
36_em_28,12 \div 3
516_em_376,2 ^ {-4}
515_em_351,1 = 1 ( 1 ) ( 1 ) 
31_em_187,50
35_em_19,2 \div 3
18_em_21,1011\ 1110\ 1110\ 0101_2
RIT_2014_204, 47474 + 5272 = 52746 
18_em_10,26
26_em_93,4 \times 4 + 4 - 4 \!
34_em_227,6588
512_em_280,3.00000003
31_em_195,1 \times 2 \times 3 \times 4 \times 5 \times 6 = 720
513_em_310,8 + 7
518_em_428,1110\ 0011_2
RIT_2014_272,40
511_em_254,(-1)^3 - 1 = -1 - 1 = -2
RIT_2014_246,7588
20_em_47,5395
23_em_56,9 + 2
502_em_23,0+0+0+0+0+0 = 0
27_em_110,(29)-2(16)+(3)=29-32+3=0
27_em_119,6778
35_em_0,299\ 792\ 458
UN_133_em_1117,8 \times 8
UN_110_em_229,8=2+2+1+1+1+1
UN_465_em_969,7 {\times} 7
UN_458_em_796,+ 2 ( 7 + 8 - 8 + 8 - 8 )
UN_134_em_1146,199 \times 199
UN_110_em_227,8 + 7 + 7 + 4 = 2 6
UN_457_em_766,1 + 1 6 + 1 2 0 + 1 0 = 1 4 7
UN_117_em_357,1 + 4 + 6 + 4 + 1 = 16
UN_114_em_304,= 1 - 1 + 1 - 1 + 1 = 1
UN_460_em_847,9 \times 9
UN_461_em_858,7 \times 7
UN_128_em_1016,- ( 2 b - 9 6 ) = 2 b - 9 6 - 1 9 2
UN_119_em_400,6 \times 6
UN_112_em_283,(9+1)-(5+5)-(1+9)
UN_460_em_831,7+7
UN_456_em_734,6 9 6 7 2 9 6 0 0
UN_454_em_697,( 1 0 + 2 ) - ( 6 + 6 ) - ( 2 + 1 0 )
UN_464_em_947,[2] [3] = [2] + [4]
UN_125_em_559,1 0 \div 3 0
UN_120_em_428,( 3 3 ) ^ 3 ( 7 3 )
UN_461_em_866,4 = 1 + 1 + 1 + 1
UN_118_em_385,8 \times 8 \times 28
UN_464_em_929,1_{1}+1_{2}+1_{3}+3_{1}+3_{2}
UN_451_em_620,+ 2 (- 2)
UN_123_em_507,6 + 6
UN_117_em_352,2 + 1 + 1 + 1 = 2 + ( 1 + 1 + 1 ) = 3 + 2
UN_456_em_733,- 1 \div 3
UN_101_em_5,- 8 . 8 \times 1 0 ^{+ 7}
UN_458_em_784,9 + 9
UN_117_em_346,1 \div 10
UN_460_em_836,\sigma\sigma\sigma
UN_111_em_259,4 + 7 + 7 + 1 + 1 = 2 0
UN_125_em_564,30 \div 35
UN_456_em_738,8 + 8
UN_466_em_985,16 \times 2 \times 2 - ( 1 6 + 1 6 \times 2 ) = 1 6
UN_131_em_1080,-99
UN_453_em_650,1 \div 3
UN_128_em_1003,6 + 6 + 1 6 = 2 8
UN_105_em_109,1^2+1^2+1^2 + 3^2 + 2^2 + 2^2 + 2^2
UN_112_em_282,8 {\times} 8
UN_133_em_1130,( 7 3 ) (3 7) ( 7 7 )
UN_115_em_316,3 \times 1 + 3 \times 1 = 6
UN_453_em_666,5 + 2 + 4 + 4 + 3 = 1 8
UN_463_em_915,1_{1}+1_{2}+1_{3}+1_{4} + 3 \times 4
UN_125_em_558,\int L_0
UN_121_em_467,0 \div 4
UN_456_em_741, - 999
UN_127_em_597,9\mbox{x}9
tester2,1 \div 2
tester3,1 + 2 \div 3 \times 4
easy,1 + 2
